127.0.0.1 - - [22/Mar/2022:09:35:55 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Mar/2022:09:35:56 +0900] "GET /05_JavaScript/01_Basic/Ex01.html HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [22/Mar/2022:09:35:56 +0900] "GET /favicon.ico HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [22/Mar/2022:09:44:57 +0900] "GET /05_JavaScript/01_Basic/Ex02.html HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [22/Mar/2022:10:00:56 +0900] "GET /05_JavaScript/01_Basic/Ex03.html HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [22/Mar/2022:10:00:56 +0900] "GET /05_JavaScript/js/console.js HTTP/1.1" 200 93
0:0:0:0:0:0:0:1 - - [22/Mar/2022:10:07:37 +0900] "GET /05_JavaScript/01_Basic/Ex04.html HTTP/1.1" 200 607
0:0:0:0:0:0:0:1 - - [22/Mar/2022:10:09:39 +0900] "GET /05_JavaScript/01_Basic/Ex04.html HTTP/1.1" 200 646
0:0:0:0:0:0:0:1 - - [22/Mar/2022:10:11:38 +0900] "GET /05_JavaScript/01_Basic/Ex04.html HTTP/1.1" 200 765
0:0:0:0:0:0:0:1 - - [22/Mar/2022:10:36:18 +0900] "GET /05_JavaScript/02_Variable/Ex01.html HTTP/1.1" 200 3002
0:0:0:0:0:0:0:1 - - [22/Mar/2022:10:37:39 +0900] "GET /05_JavaScript/02_Variable/Ex01.html HTTP/1.1" 200 3050
0:0:0:0:0:0:0:1 - - [22/Mar/2022:10:38:12 +0900] "GET /05_JavaScript/02_Variable/Ex01.html HTTP/1.1" 200 3050
0:0:0:0:0:0:0:1 - - [22/Mar/2022:10:39:29 +0900] "GET /05_JavaScript/02_Variable/Ex01.html HTTP/1.1" 200 3216
0:0:0:0:0:0:0:1 - - [22/Mar/2022:10:40:58 +0900] "GET /05_JavaScript/02_Variable/Ex01.html HTTP/1.1" 200 3223
